name,address,category,veryPrice,paymentRatio,link
Stfec Technology,"153 Idimu Ikotun Rd, Seliat B/Stop, Egbeda, Lagos",기타,VERY $1,50%,https://pay.verychat.io/shops/Hindr
ABE NUGRAHA TERAPI WONOGIRI,"Perumahan Buana Asri 1 No.: 7, Dusun Kajarejo, Pokohkidul, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57612",의료/건강,20.000,100%,https://pay.verychat.io/shops/OHtaN
SABAROYOT,"jl tambak pamarayan, kp baru, kec.pamarayan, kabupaten serang, banten",패션/잡화,19,50%,https://pay.verychat.io/shops/GhcaG
Ladood Al Madina International Pvt.Ltd.,https://maps.app.goo.gl/pnsv9UXdyZEHxQzr7,사무기기,1.99 pkr,50%,https://pay.verychat.io/shops/aXtaS
Saroj Khaja Ghar,"Benighat Rorang-03, Malekhu
Dhading District, Bagmati Province,
Nepal",식당/카페,-,-,https://pay.verychat.io/shops/rSePo
OFFICER COFFEE ☕ CAFE,"G.R.A street zc areas, Zuru 872101, Kebbi",식당/카페,10 naira,50%,https://pay.verychat.io/shops/MfjZo
Ellabis investment and farming,Oda road akure,반려동물,$2,50%,https://pay.verychat.io/shops/zUsZJ
Imme departmental store,Post office budhla Sant tehsail and district multan,사무기기,0.5,30%,https://pay.verychat.io/shops/djahN
DARBAR_E_SHIREEN,National college chowrangi Sharfabad Karachi Pakistan,식당/카페,-,-,https://pay.verychat.io/shops/xyqig
A'A PRESIDO FOUNDATION and fashion house,Brighter suit house no 34 of Minna Niger State,패션/잡화,#10,40%,https://pay.verychat.io/shops/NrFRW
zambabyid,"Jl. Pulo Jahe No.36d, RT.8/RW.5, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930",기타,$0.008,95%,https://pay.verychat.io/shops/XYjyT
Sicxbeats,23 Peter Oduntan,기타,1,100%,https://pay.verychat.io/shops/WnfAK
A-Mart,Selling all grocery things.,기타,-,-,https://pay.verychat.io/shops/VnXyZ
Aqua harvest venture,No7 Olugbala Street Isonyin Ijebu Ode,식당/카페,Ngn #10,50%,https://pay.verychat.io/shops/cjsSD
Phones seller and Repairing of devices.,"Plateau state, jos South Dadin kowa second get.",사무기기,0.01,50%,https://pay.verychat.io/shops/bDjHR
Legit's Enterprise,"Achimota, Christian village. 
Accra - Ghana.
CHRISTIAN ST GA - 389-2380. Achimota, Accra-Ghana",기타,GH¢10,50%,https://pay.verychat.io/shops/TvXaY
Provision,Yola market Adamawa State,기타,0.0024,50%,https://pay.verychat.io/shops/GoYjk
Tailoring and Adornment,Sheikh Abbas Jega Jumu'at Mosque,가전/게임,50,50%,https://pay.verychat.io/shops/HOtQU
막창로2가 삽교곱창 하대원점,"성남시 중원구 둔촌대로 287, 105호",식당/카페,5원,100%,https://pay.verychat.io/shops/uaCDE
Maryam's Sip and Essence,"Sulaiman Adamu Road
Miri 740110, Bauchi",기타,0.004$ - 005$,40%,https://pay.verychat.io/shops/oWoKg
Audu Shebe Multi-purpose Venture,"Shop No, 2 Illorin road Locost Bida, Niger State",기타,#10,50%,https://pay.verychat.io/shops/JTofw
아우성생오리,경남 양산시 평산6길 15,식당/카페,8.5원,100%,https://pay.verychat.io/shops/GhJkL
Al Shehbaz Ecloncatronic,Three road meerwah Mehrabpur fatak station,기타,PKR2.06 $ 0.0072,100%,https://pay.verychat.io/shops/yerVe
Himma Dai Mata & Resources,No. 67B Habibu Road Samaru zaria Kaduna state,기타,$1,50%,https://pay.verychat.io/shops/uxgip
주몽투어,서울특별시 동대문구 왕산로32길 7 BYC 오피스텔 2212,여행/숙박,-,-,https://pay.verychat.io/shops/QwErY
Jaya raya innovation,"Kp. Pondok bahar rt.005/002, kelurahan pondok bahar, kecamatan karang tengah, kota tangerang, banten 15159",의료/건강,125,25%,https://pay.verychat.io/shops/tCBLq
Rudy Goldfx,"Near Radio Citra Atlas 102.6 FM, Tanah Periuk, Lubuk Linggau Selatan II, Lubuklinggau City, South Sumatra 31625",식당/카페,USD $10,50%,https://pay.verychat.io/shops/QFPPM
Pelumi jewelries store,Ibadan,미용,AUD,50%,https://pay.verychat.io/shops/oJyjI
Rj fashion,Jl m yamin kalimantan,패션/잡화,"0,1$",100%,https://pay.verychat.io/shops/ULnhb
Depot isi ulang Fadhil AQUA,"3JGP+9XW, Jl. Cibangkong Lor, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",기타,0.007$,50%,https://pay.verychat.io/shops/ijRsJ
세명아트,부산 부산진구 냉정로160번길 19-9,기타,문의,50%,https://pay.verychat.io/shops/oZmjD
소장군황제갈비살,인천 서구 건지로 405 1층,식당/카페,5원,30%,https://pay.verychat.io/shops/KYqiK
Yadidiah Limited,HPX8+744 Kwashieman,기타,200,5%,https://pay.verychat.io/shops/dGFXp
신아윈텍,부산광역시 강서구 대저중앙로348번길20(대저1동),기타,10원,50%,https://pay.verychat.io/shops/tbymh
코리아국제인력,서초대로 49길4  5층,기타,10,10%,https://pay.verychat.io/shops/SWUYe
Bakso pak arif,Jiwan madiun,식당/카페,23000,100%,https://pay.verychat.io/shops/psDbS
Popcorn,New millennium city Kaduna State,식당/카페,50,50%,https://pay.verychat.io/shops/WIRhU
Aleeyous Integrated Services,Behind NITEL Malumfashi,식당/카페,50,50%,https://pay.verychat.io/shops/kLneM
Sorlidstyles,"House7,road 6, Erunwon quarters, Olokuta Idi-ABA. Abeokuta",패션/잡화,-,-,https://pay.verychat.io/shops/wVdlX
Seblak Nani,"Jl. Raya Tumapel No.103, Pangetan, Pagentan, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153",식당/카페,1 USD,50%,https://pay.verychat.io/shops/mQBwA
ALI general store,"Chak 327 HR marot post office Marot 
Tahsil Fortabbas district bahawalnagar",미용,1.9pkr . 0.1$,50%,https://pay.verychat.io/shops/qDvZF
Benautics RC,Futa North Gate Akure,기타,"20,000",100%,https://pay.verychat.io/shops/RbZJL
Olosho Threads,"7 Aka itaim street, Uyo",패션/잡화,0.003,50%,https://pay.verychat.io/shops/arckL
Dhakde Dental Clinic,Near Bus Stand Dhanora Road Gadchiroli 442605 Maharashtra India,기타,INR 10 $0.10,50%,https://pay.verychat.io/shops/drfVr
Home for plant,"Pondok Mutiara Asri, Jl. Gapuro Desa Pandan Landung Blok E9 No.03, Krajan, Pandanlandung, Kec. Wagir",기타,50,50%,https://pay.verychat.io/shops/jKfcL
Mercy of God telecommunication,Bale yaku aera Ogbomosho,기타,10,10%,https://pay.verychat.io/shops/cutQx
TRIK DIGITAL INDONESIA,"Dusun Gepuro RT.001 RW.003 Kelurahan Watukebo Kecamatan Blimbingsari Kabupaten Banyuwangi, Jawa Timur",기타,120 IDR,50%,https://pay.verychat.io/shops/kXUCd
Sparkling cleaning services,Damboa road maiduguri,기타,0.1,100%,https://pay.verychat.io/shops/NmlLa
K.MAN GLOBAL SERVICES,"Kano, Nigeria",기타,USDT 0.1,50%,https://pay.verychat.io/shops/UrVMp
한글컴퓨터,서울시 도봉구 도봉로 156길30 2층 202,기타,10원,35%,https://pay.verychat.io/shops/oBVKD
Ali shop,Ferozpur road Lahore satellite Town,기타,1.9pkr or 0.1$,50%,https://pay.verychat.io/shops/oqqmM
YUSUF KELE FASHION AND DESIGN,"Shop no 002 behind inec, office, tudun wada area, zuru,872101, kebbi state",패션/잡화,10 Naira,50%,https://pay.verychat.io/shops/UdcNB
Quba Exchanger,perumahan griya ardha garini blok p27 jiwan madiun,반려동물,"0,1",100%,https://pay.verychat.io/shops/LOsnG
Athaya Durevole Perfume,"Jl. Penggabungan Dusun VI Desa Baru Pasar VIII, Kabupaten Langkat, Sumatera Utara",패션/잡화,$0.0072,50%,https://pay.verychat.io/shops/fgZlO
Jepets fruits and fruit shakes shop,Lower katibo tawala panglao,식당/카페,0.4,20%,https://pay.verychat.io/shops/eXqil
구라포차,부산 사상구 주례로10번길 9,식당/카페,10원,50%,https://pay.verychat.io/shops/FgHjL
인띠모,"충남 천안시 서북구 백석로266 
시계수리센타",패션/잡화,50원,50%,https://pay.verychat.io/shops/IZCzV
beauty,MARADI AHMADU MODEL PRI,미용,50,50%,https://pay.verychat.io/shops/DRgsd
오리궁뎅이 첨단점,"광주광역시 광산구 임방울대로800번길72 
114호",식당/카페,10원,100%,https://pay.verychat.io/shops/HChrV
안여정남성컷트전문점,진주시 호탄길 22번길 4 (수경빌딩 1층),미용,10원,50%,https://pay.verychat.io/shops/RnUzA
Akhilesh genral store,Madhiya kamlawari post madhiya police station basopatti State bihar India,식당/카페,-,-,https://pay.verychat.io/shops/NfrSz
Bhatti kiryana store,Moza khotali mehtum post office karampur district vehari Tehsil Mailsi,부동산/인테리어,1.9pkr 0.1$,50%,https://pay.verychat.io/shops/oNMVE
Control Z Coffee,https://maps.app.goo.gl/utRAzKRgHCkVhXcD6,식당/카페,"5,58",5%,https://pay.verychat.io/shops/oGSPb
Sesame,"OPP SANI MASHAL GOVERNMENT ARABIC SECONDARY SCHOOL KURA KANO STATE, NIGERIA",기타,"10NRN, 2.40/kg",50%,https://pay.verychat.io/shops/Egiem
St electronics,"New garage ibadan, front of fola oil",기타,-,-,https://pay.verychat.io/shops/NbtLI
Buy&sell,Street No 10 College town Pindi Road Kohat,의료/건강,5₨,20%,https://pay.verychat.io/shops/lCouK
PappyK mixes,"6 Abayomi Odukoya close, beside Aladewura church, Ajegunle, Lagos",기타,$1,75%,https://pay.verychat.io/shops/qjhLX
Oumannur Raiment 👗👠,Masari quanters kafur local government kastina state,패션/잡화,50,50%,https://pay.verychat.io/shops/TCyhk
Mhiz Blues’s Treat,"Malam kuri Pantami Gombe, Gombe Nigeria.",식당/카페,0.005,35%,https://pay.verychat.io/shops/QvIph
Alfian Craft,Jl. Kauman 2 Ngebruk Sumberpucung Kabupaten Malang Jawa Timur Indonesia,패션/잡화,$100,50%,https://pay.verychat.io/shops/MZUDe
Coway internasional Indonesia,https://maps.app.goo.gl/9P79onpaidNBfZMC6?g_st=ic,가전/게임,IDR 25,50%,https://pay.verychat.io/shops/IVtZH
Shamu Cloth Store,Shamu Cloth Store G6 Abpara Bazar Near Lal Masjid Islamabad,패션/잡화,0.1,50%,https://pay.verychat.io/shops/xcqUb
Rico komputer,"Jl. Citra Raya Boulevard, Timur, Ciakar, Kec. Panongan, Kabupaten Tangerang, Banten 15711",기타,AUD $1,95%,https://pay.verychat.io/shops/cjmeP
GS25수원파크점,경기도 수원시 권선구 권선로699번길17 101호,기타,10,20%,https://pay.verychat.io/shops/DNEHm
USHA SHREE BALAJI AGENCY,"JAGAT TRADE CENTRE, IN FRONT OF HEM PLAZA, NEAR DAKBUGLOW CHAURAHA, FRZER ROAD, PATNA -800001, BIHAR, INDIA",기타,INR 1 $ 0.01,100%,https://pay.verychat.io/shops/nnshe
Tailoring and fashion design,Kambarawa,패션/잡화,0.7,50%,https://pay.verychat.io/shops/XxsGg
Siomay batagor bandung,Jl beruang 6 jayamukti cikarang baru,식당/카페,120 IDR,50%,https://pay.verychat.io/shops/nvRMD
M.A BIRNI COMMUNICATION,Rijiyar lemo sabon titin yan babura kano,기타,0.0002,50%,https://pay.verychat.io/shops/lQdnb
진주계란,진주시 향교로 33,기타,10원,50%,https://pay.verychat.io/shops/iLKIu
헬로우빈,부산 사상구 가야대로306 헬로우빈,식당/카페,10,50%,https://pay.verychat.io/shops/TaKJm
모던안경,서울 성동구 성덕정길 89,패션/잡화,50원,50%,https://pay.verychat.io/shops/TyUiP
월드김,인천시 남동구 수산동 131번지,가전/게임,10,50%,https://pay.verychat.io/shops/MKmYr
Surajo Water and Soft Drinks,Kutunku new extension Gwagwalada Abuja.,기타,$0.2,35%,https://pay.verychat.io/shops/WaiYx
Angkringan Lacafe,"Jl. Raya Dayeuhluhur, Cihideung, Dayeuhluhur, Kec. Dayeuhluhur, Kabupaten Cilacap, Jawa Tengah 53266",식당/카페,$0.8,20%,https://pay.verychat.io/shops/AIPDQ
Amydon palm oil,No 15 Ezekiel close off Rd 1 ext agip estate,기타,0.007,50%,https://pay.verychat.io/shops/jTLAU
